App #,APP Name,Package name,Testing tool,Activity Coverage,,
,Number of Activities: 33,,Stoat,9.09%,21.21%,18.18%
,Lines of Code: 21399,,Re,81.82%,63.64%,81.82%
,,,Monkey,36.36%,30.30%,27.27%
27,plees-tracker,hu.vmiklos.plees_tracker,APE,100.00%,100.00%,100.00%
,Number of Activities: 6,,Stoat,100.00%,83.33%,66.67%
,Lines of Code: 1710,,Re,100.00%,100.00%,100.00%
,,,Monkey,66.67%,50.00%,66.67%
28,Rugby Ranker,com.ricknout.rugbyranker,APE,100.00%,100.00%,100.00%
,Number of Activities: 4,,Stoat,75.00%,75.00%,75.00%
,Lines of Code: 4673,,Re,100.00%,100.00%,100.00%
,,,Monkey,75.00%,75.00%,75.00%
29,Muzei,net.nurik.roman.muzei,APE,7.69%,7.69%,7.69%
,Number of Activities: 13,,Stoat,7.69%,7.69%,7.69%
,Lines of Code: 790,,Re,7.69%,38.50%,7.69%
,,,Monkey,7.69%,7.69%,7.69%
30,Alkaa,com.escodro.alkaa,APE,100.00%,100.00%,100.00%
,Number of Activities: 1,,Stoat,100.00%,100.00%,100.00%
,Lines of Code: 201,,Re,100.00%,100.00%,100.00%
,,,Monkey,100.00%,100.00%,100.00%
31,Eventyay Attendee App,com.eventyay.attendee,APE,50.00%,50.00%,50.00%
,Number of Activities: 4,,Stoat,25.00%,25.00%,25.00%
,Lines of Code: 1547,,Re,50.00%,50.00%,50.00%
,,,Monkey,50.00%,50.00%,50.00%
32,mozilla-mobile,org.mozilla.fenix.debug,APE,29.41%,29.41%,29.41%
,Number of Activities: 17,,Stoat,5.88%,5.88%,5.88%
,Lines of Code: 139611,,Re,29.41%,29.41%,29.41%
,,,Monkey,17.65%,29.41%,29.41%
33,Pedometer,de.j4velin.pedometer,APE,50.00%,50.00%,50.00%
,Number of Activities: 2,,Stoat,50.00%,50.00%,50.00%
,Lines of Code: 1015,,Re,50.00%,50.00%,50.00%
,,,Monkey,50.00%,50.00%,50.00%
34,OpenHub,com.thirtydegreesray.openhub,APE,7.41%,7.41%,7.41%
,Number of Activities: 27,,Stoat,3.70%,3.70%,3.70%
,Lines of Code: 17458,,Re,7.41%,3.70%,3.70%
,,,Monkey,7.41%,7.41%,7.41%
35,Minimal-Todo,com.avjindersinghsekhon.minimaltodo,APE,80.00%,80.00%,80.00%
,Number of Activities: 5,,Stoat,80.00%,80.00%,80.00%
,Lines of Code: 1070,,Re,80.00%,80.00%,80.00%
,,,Monkey,80.00%,80.00%,80.00%
36,PassAndroid,org.ligi.passandroid,APE,61.54%,61.54%,61.50%
,Number of Activities: 13,,Stoat,38.46%,46.15%,38.50%
,Lines of Code: 3243,,Re,53.85%,53.85%,53.80%
,,,Monkey,46.15%,61.54%,46.15%
37,CameraRoll,us.koller.cameraroll,APE,71.43%,78.60%,78.60%
,Number of Activities: 14,,Stoat,80.00%,71.40%,64.30%
,Lines of Code: 9281,,Re,71.43%,71.43%,71.43%
,,,Monkey,35.71%,28.57%,28.57%
38,LibreNews,app.librenews.io.librenews,APE,100.00%,100.00%,100.00%
,Number of Activities: 2,,Stoat,100.00%,100.00%,100.00%
,Lines of Code: 510,,Re,100.00%,100.00%,100.00%
,,,Monkey,100.00%,100.00%,100.00%
39,Transistor,org.y20k.transistor,APE,100.00%,100.00%,100.00%
,Number of Activities: 1,,Stoat,100.00%,100.00%,100.00%
,Lines of Code: 3154,,Re,100.00%,100.00%,100.00%
,,,Monkey,100.00%,100.00%,100.00%
40,ChangeDetection,com.bernaferrari.changedetection,APE,100.00%,100.00%,100.00%
,Number of Activities: 1,,Stoat,100.00%,100.00%,100.00%
,Lines of Code:7554,,Re,100.00%,100.00%,100.00%
,,,Monkey,100.00%,100.00%,100.00%
